cohort,phv,BDCHM_Label,new_bdchm_label
"ARIC","phv00203754","Stroke status","Stroke"
"ARIC","phv00203755","Stroke status","Stroke"
"ARIC","phv00203756","Stroke status","Stroke"
"ARIC","phv00203757","Stroke status","Stroke"
"ARIC","phv00203758","Stroke status","Stroke"
"ARIC","phv00203794","Stroke status","Stroke"
"ARIC","phv00203795","Stroke status","Stroke"
"ARIC","phv00203832","Cause of death",""
"ARIC","phv00203866","BUN Creatinine ratio","BUN"
"ARIC","phv00203941","Stroke status","Stroke"
"ARIC","phv00203984","Stroke status","Stroke"
"ARIC","phv00203985","Stroke status","Stroke"
"ARIC","phv00204310","Stroke status","Stroke"
"ARIC","phv00204311","Stroke status","Stroke"
"ARIC","phv00204347","Stroke status","Stroke"
"ARIC","phv00204458","Stroke status","Stroke"
"ARIC","phv00204528","Carotid stenosis","Carotid stenosis right"
"ARIC","phv00204529","Carotid stenosis","Carotid stenosis left"
"ARIC","phv00204552","Carotid stenosis","Carotid stenosis right"
"ARIC","phv00204553","Carotid stenosis","Carotid stenosis left"
"ARIC","phv00204563","Stroke status","Stroke"
"ARIC","phv00204564","Stroke status","Stroke"
"ARIC","phv00204565","Stroke status","Stroke"
"ARIC","phv00204566","Stroke status","Stroke"
"ARIC","phv00204602","Stroke status",""
"ARIC","phv00204603","Stroke status",""
"ARIC","phv00204604","Stroke status",""
"ARIC","phv00204605","Stroke status",""
"ARIC","phv00204712","Body weight",""
"ARIC","phv00204712","Carotid IMT",""
"ARIC","phv00204712","Carotid plaque",""
"ARIC","phv00204712","Cigarette smoking",""
"ARIC","phv00204712","Diastolic blood pressure",""
"ARIC","phv00204712","Fasting lipids",""
"ARIC","phv00204712","HDL",""
"ARIC","phv00204712","Height",""
"ARIC","phv00204712","Hematocrit",""
"ARIC","phv00204712","Hemoglobin",""
"ARIC","phv00204712","History of coronary angioplasty",""
"ARIC","phv00204712","History of coronary artery bypass graft",""
"ARIC","phv00204712","History of myocardial infarction",""
"ARIC","phv00204712","Hypertension treatment",""
"ARIC","phv00204712","Lymphocytes count",""
"ARIC","phv00204712","Neutrophils count",""
"ARIC","phv00204712","Platelet count",""
"ARIC","phv00204712","Systolic blood pressure",""
"ARIC","phv00204712","Taking ACE inhibitors",""
"ARIC","phv00204712","Taking aldosterone receptor blockers",""
"ARIC","phv00204712","Taking alpha blockers",""
"ARIC","phv00204712","Taking angiotensin receptor blockers",""
"ARIC","phv00204712","Taking beta blockers",""
"ARIC","phv00204712","Taking calcium channel blockers",""
"ARIC","phv00204712","Taking centrally acting agents",""
"ARIC","phv00204712","Taking diuretics",""
"ARIC","phv00204712","Taking statin medication",""
"ARIC","phv00204712","Total cholesterol in blood",""
"ARIC","phv00204712","Triglycerides in blood",""
"ARIC","phv00204712","Venous thromboembolism",""
"ARIC","phv00204712","White blood cell count",""
"ARIC","phv00204712","basophils count",""
"ARIC","phv00204712","eosinophils count",""
"ARIC","phv00204712","mean corpuscular hemoglobin concentration",""
"ARIC","phv00204712","monocytes count",""
"ARIC","phv00204712","peripheral arterial disease",""
"ARIC","phv00204871","Hematocrit",""
"ARIC","phv00204871","Hemoglobin",""
"ARIC","phv00204871","Platelet count",""
"ARIC","phv00204871","Red blood cell count volume",""
"ARIC","phv00204871","White blood cell count",""
"ARIC","phv00204871","mean corpuscular hemoglobin",""
"ARIC","phv00204871","mean corpuscular hemoglobin concentration",""
"ARIC","phv00204871","mean corpuscular volume",""
"ARIC","phv00204871","red cell distribution width",""
"ARIC","phv00204912","Stroke status","Stroke"
"ARIC","phv00206672","Stroke status","Stroke"
"ARIC","phv00206673","Stroke status","Stroke"
"ARIC","phv00206674","Stroke status","Stroke"
"ARIC","phv00206681","Stroke status","Stroke"
"ARIC","phv00206784","COPD status","COPD"
"ARIC","phv00206814","Stroke status","Stroke"
"ARIC","phv00206817","Height",""
"ARIC","phv00206983","Taking diuretic","Taking diuretics"
"ARIC","phv00206984","Taking diuretic","Taking diuretics"
"ARIC","phv00206996","Taking diuretic","Taking diuretics"
"ARIC","phv00206998","Stroke status","Stroke"
"ARIC","phv00207025","Stroke status","Stroke"
"ARIC","phv00207287","Red blood cell count volume","Red blood cell count"
"ARIC","phv00207299","Red blood cell count volume","Red blood cell count"
"ARIC","phv00207314","Stroke status","Stroke"
"ARIC","phv00210399","Stroke status","Stroke"
"ARIC","phv00210400","Stroke status","Stroke"
"ARIC","phv00210401","Stroke status","Stroke"
"ARIC","phv00210402","Stroke status","Stroke"
"ARIC","phv00210403","Stroke status","Stroke"
"ARIC","phv00210404","Stroke status","Stroke"
"ARIC","phv00210405","Stroke status","Stroke"
"ARIC","phv00210406","Stroke status","Stroke"
"ARIC","phv00210407","Stroke status","Stroke"
"ARIC","phv00210408","Stroke status","Stroke"
"ARIC","phv00210409","Stroke status","Stroke"
"ARIC","phv00210410","Stroke status","Stroke"
"ARIC","phv00210418","Stroke status","Stroke"
"ARIC","phv00210419","Stroke status","Stroke"
"ARIC","phv00210420","Stroke status","Stroke"
"ARIC","phv00210421","Stroke status","Stroke"
"ARIC","phv00210422","Stroke status","Stroke"
"ARIC","phv00210423","Stroke status","Stroke"
"ARIC","phv00210424","Stroke status","Stroke"
"ARIC","phv00210425","Stroke status","Stroke"
"ARIC","phv00210426","Stroke status","Stroke"
"ARIC","phv00210427","Stroke status","Stroke"
"ARIC","phv00210428","Stroke status","Stroke"
"ARIC","phv00210429","Stroke status","Stroke"
"ARIC","phv00210437","Stroke status","Stroke"
"ARIC","phv00210438","Stroke status","Stroke"
"ARIC","phv00210439","Stroke status","Stroke"
"ARIC","phv00210440","Stroke status","Stroke"
"ARIC","phv00210441","Stroke status","Stroke"
"ARIC","phv00210442","Stroke status","Stroke"
"ARIC","phv00210443","Stroke status","Stroke"
"ARIC","phv00210444","Stroke status","Stroke"
"ARIC","phv00210445","Stroke status","Stroke"
"ARIC","phv00210446","Stroke status","Stroke"
"ARIC","phv00210447","Stroke status","Stroke"
"ARIC","phv00210448","Stroke status","Stroke"
"ARIC","phv00210456","Stroke status","Stroke"
"ARIC","phv00210457","Stroke status","Stroke"
"ARIC","phv00210458","Stroke status","Stroke"
"ARIC","phv00210459","Stroke status","Stroke"
"ARIC","phv00210460","Stroke status","Stroke"
"ARIC","phv00210461","Stroke status","Stroke"
"ARIC","phv00210462","Stroke status","Stroke"
"ARIC","phv00210463","Stroke status","Stroke"
"ARIC","phv00210464","Stroke status","Stroke"
"ARIC","phv00210465","Stroke status","Stroke"
"ARIC","phv00210466","Stroke status","Stroke"
"ARIC","phv00210467","Stroke status","Stroke"
"ARIC","phv00210469","Stroke status","Stroke"
"ARIC","phv00210471","Stroke status","Stroke"
"ARIC","phv00210597","Stroke status","Stroke"
"ARIC","phv00210786","Stroke status","Stroke"
"ARIC","phv00210840","Stroke status","Stroke"
"ARIC","phv00294651","Stroke status","Stroke"
"ARIC","phv00294718","Stroke status","Stroke"
"ARIC","phv00294955","Red blood cell count volume","Red blood cell count"
"ARIC","phv00295741","Stroke status","Stroke"
"ARIC","phv00296601","Stroke status","Stroke"
"ARIC","phv00297378","Stroke status","Stroke"
"ARIC","phv00298000","COPD status","COPD"
"ARIC","phv00298001","COPD status","COPD"
"ARIC","phv00298002","COPD status","COPD"
"ARIC","phv00419792","Heart failure","History of heart failure"
"ARIC","phv00419929","Asthma",""
"ARIC","phv00506139","Stroke status",""
"ARIC","phv00506140","Stroke status",""
"ARIC","phv00506141","Stroke status",""
"ARIC","phv00506142","Stroke status",""
"ARIC","phv00506143","Stroke status",""
"ARIC","phv00506144","Stroke status","Stroke"
"ARIC","phv00506145","Stroke status","Stroke"
"ARIC","phv00506146","Stroke status","Stroke"
"ARIC","phv00506147","Stroke status","Stroke"
"ARIC","phv00506148","Stroke status","Stroke"
"ARIC","phv00506160","Stroke status","Stroke"
"ARIC","phv00507051","Albumin in blood",""
"ARIC","phv00507188","Red blood cell count volume","Red blood cell count"
"ARIC","phv00507338","Stroke status","Stroke"
"ARIC","phv00507372","Taking diuretic","Taking diuretics"
"ARIC","phv00507373","Taking diuretic","Taking diuretics"
"ARIC","phv00507409","Stroke status","Stroke"
"ARIC","phv00507819","Stroke status","Stroke"
"ARIC","phv00507866","Stroke status",""
"ARIC","phv00510590","Cystatin C in blood",""
"ARIC","phv00510647","Pacemaker implant status",""
"ARIC","phv00510845","Troponin all types",""
"ARIC","phv00511166","Stroke status","Stroke"
"ARIC","phv00511167","Stroke status","Stroke"
"ARIC","phv00511178","Stroke status","Stroke"
"ARIC","phv00511179","Stroke status","Stroke"
"ARIC","phv00511184","Stroke status","Stroke"
"ARIC","phv00511185","Stroke status","Stroke"
"ARIC","phv00511256","Stroke status","Stroke"
"ARIC","phv00511257","Stroke status","Stroke"
"ARIC","phv00512029","Stroke status","Stroke"
"ARIC","phv00512124","Stroke status","Stroke"
"ARIC","phv00512127","Stroke status","Stroke"
"ARIC","phv00512216","Taking diuretic","Taking diuretics"
